cidade,temperatura,umidade,data_coleta
Belo Horizonte,26.27,40,"Quinta-feira, 28 de agosto de 2025 14:32:21"
Natal,30.12,51,"Quinta-feira, 28 de agosto de 2025 14:33:40"
São Paulo,23.71,67,"Quinta-feira, 28 de agosto de 2025 14:33:41"
Rio de Janeiro,24.22,75,"Quinta-feira, 28 de agosto de 2025 14:33:43"
Fortaleza,30.07,51,"Quinta-feira, 28 de agosto de 2025 14:33:44"
Anápolis,29.78,24,"Quinta-feira, 28 de agosto de 2025 14:33:46"
Salvador,26.98,73,"Quinta-feira, 28 de agosto de 2025 14:33:47"
Belo Horizonte,26.27,40,"Quinta-feira, 28 de agosto de 2025 14:33:49"
Belém,29.98,98,"Quinta-feira, 28 de agosto de 2025 14:33:50"
Maceió,26.69,65,"Quinta-feira, 28 de agosto de 2025 14:33:51"
Osasco,23.68,92,"Quinta-feira, 28 de agosto de 2025 14:33:52"
Teresina,35.84,28,"Quinta-feira, 28 de agosto de 2025 14:33:53"
Osasco,23.68,92,"Quinta-feira, 28 de agosto de 2025 14:33:54"
São Luís,31.11,66,"Quinta-feira, 28 de agosto de 2025 14:34:24"
Gramado,19.74,13,"Quinta-feira, 28 de agosto de 2025 14:34:37"
Natal,30.12,51,"Quinta-feira, 28 de agosto de 2025 14:34:41"
São Paulo,23.71,67,"Quinta-feira, 28 de agosto de 2025 14:34:42"
Rio de Janeiro,24.22,75,"Quinta-feira, 28 de agosto de 2025 14:34:43"
Fortaleza,30.07,51,"Quinta-feira, 28 de agosto de 2025 14:34:44"
Anápolis,29.78,24,"Quinta-feira, 28 de agosto de 2025 14:34:45"
Salvador,26.98,73,"Quinta-feira, 28 de agosto de 2025 14:34:46"
Belo Horizonte,26.27,40,"Quinta-feira, 28 de agosto de 2025 14:34:47"
Belém,29.98,98,"Quinta-feira, 28 de agosto de 2025 14:34:48"
Maceió,26.69,65,"Quinta-feira, 28 de agosto de 2025 14:34:49"
Teresina,35.84,28,"Quinta-feira, 28 de agosto de 2025 14:34:50"
Osasco,23.68,92,"Quinta-feira, 28 de agosto de 2025 14:34:52"
São Luís,31.11,66,"Quinta-feira, 28 de agosto de 2025 14:34:53"
Gramado,19.74,13,"Quinta-feira, 28 de agosto de 2025 14:34:54"
Natal,30.12,51,"Quinta-feira, 28 de agosto de 2025 14:37:53"
São Paulo,23.71,67,"Quinta-feira, 28 de agosto de 2025 14:37:54"
Rio de Janeiro,24.22,75,"Quinta-feira, 28 de agosto de 2025 14:37:55"
Fortaleza,30.07,51,"Quinta-feira, 28 de agosto de 2025 14:37:56"
Anápolis,29.78,24,"Quinta-feira, 28 de agosto de 2025 14:37:58"
Salvador,26.98,73,"Quinta-feira, 28 de agosto de 2025 14:37:59"
Belo Horizonte,26.27,40,"Quinta-feira, 28 de agosto de 2025 14:37:59"
Belém,29.98,98,"Quinta-feira, 28 de agosto de 2025 14:38:00"
Maceió,26.69,65,"Quinta-feira, 28 de agosto de 2025 14:38:01"
Teresina,35.84,28,"Quinta-feira, 28 de agosto de 2025 14:38:03"
Osasco,23.51,79,"Quinta-feira, 28 de agosto de 2025 14:38:03"
São Luís,31.11,66,"Quinta-feira, 28 de agosto de 2025 14:38:04"
Gramado,19.74,13,"Quinta-feira, 28 de agosto de 2025 14:38:05"
Sorocaba,25.31,48,"Quinta-feira, 28 de agosto de 2025 14:38:22"
